threshold,sensitivity,specificity,youden_j,tn,fp,fn,tp
0.05,1.0,0.0,0.0,0,489,0,539
0.06,1.0,0.002044989775051125,0.002044989775051187,1,488,0,539
0.07,1.0,0.002044989775051125,0.002044989775051187,1,488,0,539
0.08,1.0,0.002044989775051125,0.002044989775051187,1,488,0,539
0.09,1.0,0.002044989775051125,0.002044989775051187,1,488,0,539
0.09999999999999999,1.0,0.00408997955010225,0.004089979550102152,2,487,0,539
0.10999999999999999,1.0,0.014314928425357873,0.014314928425357865,7,482,0,539
0.12,1.0,0.022494887525562373,0.02249488752556239,11,478,0,539
0.13,0.9981447124304267,0.032719836400818,0.030864548831244676,16,473,1,538
0.13999999999999999,0.9962894248608535,0.04294478527607362,0.03923421013692718,21,468,2,537
0.14999999999999997,0.9944341372912802,0.04703476482617587,0.04146890211745613,23,466,3,536
0.15999999999999998,0.9907235621521335,0.065439672801636,0.056163234953769514,32,457,5,534
0.16999999999999998,0.9907235621521335,0.081799591002045,0.07252315315417857,40,449,5,534
0.18,0.9888682745825603,0.08588957055214724,0.07475784513470751,42,447,6,533
0.19,0.9888682745825603,0.1083844580777096,0.0972527326602699,53,436,6,533
0.19999999999999996,0.9833024118738405,0.12065439672801637,0.10395680860185674,59,430,9,530
0.20999999999999996,0.9795918367346939,0.1390593047034765,0.11865114143817035,68,421,11,528
0.21999999999999997,0.9777365491651205,0.15337423312883436,0.131110782293955,75,414,12,527
0.22999999999999998,0.9758812615955473,0.17586912065439672,0.15175038224994397,86,403,13,526
0.24,0.974025974025974,0.19631901840490798,0.17034499243088197,96,393,14,525
0.24999999999999994,0.9684601113172542,0.21881390593047034,0.18727401724772452,107,382,17,522
0.25999999999999995,0.9628942486085343,0.2331288343558282,0.19602308296436255,114,375,20,519
0.26999999999999996,0.9591836734693877,0.25766871165644173,0.2168523851258295,126,363,22,517
0.27999999999999997,0.948051948051948,0.2842535787321063,0.23230552678405436,139,350,28,511
0.29,0.9443413729128015,0.3067484662576687,0.25108983917047034,150,339,30,509
0.3,0.9424860853432282,0.3128834355828221,0.25536952092605025,153,336,31,508
0.30999999999999994,0.935064935064935,0.32515337423312884,0.2602183092980639,159,330,35,504
0.31999999999999995,0.9276437847866419,0.3374233128834356,0.2650670976700775,165,324,39,500
0.32999999999999996,0.922077922077922,0.35991820040899797,0.2819961224869201,176,313,42,497
0.33999999999999997,0.9146567717996289,0.36809815950920244,0.28275493130883134,180,309,46,493
0.3499999999999999,0.9016697588126159,0.37627811860940696,0.27794787742202276,184,305,53,486
0.35999999999999993,0.9016697588126159,0.39059304703476483,0.29226280584738085,191,298,53,486
0.36999999999999994,0.8923933209647495,0.4069529652351738,0.29934628619992343,199,290,58,481
0.37999999999999995,0.8868274582560297,0.4294478527607362,0.316275311016766,210,279,61,478
0.38999999999999996,0.8794063079777366,0.4498977505112474,0.3293040584889839,220,269,65,474
0.3999999999999999,0.8701298701298701,0.4621676891615542,0.33229755929142435,226,263,70,469
0.4099999999999999,0.8534322820037106,0.48057259713701433,0.33400487914072485,235,254,79,460
0.41999999999999993,0.849721706864564,0.4948875255623722,0.3446092324269363,242,247,81,458
0.42999999999999994,0.8478664192949907,0.5112474437627812,0.35911386305777193,250,239,82,457
0.43999999999999995,0.8385899814471243,0.5276073619631901,0.3661973434103145,258,231,87,452
0.4499999999999999,0.8330241187384044,0.5316973415132924,0.3647214602516968,260,229,90,449
0.4599999999999999,0.8218923933209648,0.5521472392638037,0.37403963258476836,270,219,96,443
0.4699999999999999,0.8107606679035251,0.5705521472392638,0.3813128151427889,279,210,102,437
0.4799999999999999,0.7977736549165121,0.5766871165644172,0.3744607714809294,282,207,109,430
0.48999999999999994,0.7940630797773655,0.5869120654396728,0.38097514521703824,287,202,111,428
0.49999999999999994,0.7755102040816326,0.6032719836400818,0.37878218772171435,295,194,121,418
0.5099999999999999,0.7680890538033395,0.6114519427402862,0.37954099654362583,299,190,125,414
0.5199999999999999,0.75139146567718,0.6278118609406953,0.37920332661787537,307,182,134,405
0.5299999999999999,0.7272727272727273,0.6482617586912065,0.3755344859639338,317,172,147,392
0.5399999999999999,0.7235621521335807,0.6605316973415133,0.38409384947509384,323,166,149,390
0.5499999999999999,0.7068645640074211,0.6687116564417178,0.3755762204491391,327,162,158,381
0.5599999999999999,0.6901669758812616,0.6850715746421268,0.3752385505233884,335,154,167,372
0.57,0.6790352504638218,0.6993865030674846,0.3784217535313066,342,147,173,366
0.58,0.6641929499072357,0.7055214723926381,0.36971442229987383,345,144,181,358
0.59,0.6530612244897959,0.7157464212678937,0.36880764575768943,350,139,187,352
0.6,0.6437847866419295,0.7259713701431493,0.3697561567850789,355,134,192,347
0.61,0.6326530612244898,0.7321063394683026,0.36475940069279256,358,131,198,341
0.62,0.6196660482374768,0.7505112474437627,0.37017729568123947,367,122,205,334
0.63,0.608534322820037,0.7586912065439673,0.3672255293640043,371,118,211,328
0.6399999999999999,0.5955473098330241,0.7709611451942741,0.3665084550272981,377,112,218,321
0.6499999999999999,0.575139146567718,0.7914110429447853,0.3665501895125032,387,102,229,310
0.6599999999999999,0.5547309833024119,0.8077709611451943,0.3625019444476063,395,94,240,299
0.6699999999999999,0.5269016697588126,0.8220858895705522,0.34898755932936476,402,87,255,284
0.6799999999999999,0.5157699443413729,0.8261758691206544,0.34194581346202746,404,85,261,278
0.69,0.5064935064935064,0.83640081799591,0.3428943244894165,409,80,266,273
0.7,0.49536178107606677,0.8507157464212679,0.34607752749733467,416,73,272,267
0.71,0.47680890538033394,0.869120654396728,0.34592955977706197,425,64,282,257
0.72,0.4601113172541744,0.8773006134969326,0.337411930751107,429,60,291,248
0.73,0.4452690166975881,0.885480572597137,0.330749589294725,433,56,299,240
0.74,0.42857142857142855,0.8875255623721882,0.31609699094361665,434,55,308,231
0.7499999999999999,0.41187384044526903,0.8957055214723927,0.30757936191766166,438,51,317,222
0.7599999999999999,0.4025974025974026,0.9079754601226994,0.3105728627201021,444,45,322,217
0.7699999999999999,0.38404452690166974,0.918200408997955,0.30224493589962464,449,40,332,207
0.7799999999999999,0.3580705009276438,0.9284253578732107,0.2864958588008544,454,35,346,193
0.7899999999999999,0.3432282003710575,0.9325153374233128,0.2757435377943702,456,33,354,185
0.7999999999999999,0.32838589981447125,0.9386503067484663,0.2670362065629375,459,30,362,177
0.8099999999999999,0.3098330241187384,0.950920245398773,0.26075326951751143,465,24,372,167
0.82,0.287569573283859,0.9591002044989775,0.2466697777828366,469,20,384,155
0.83,0.26716141001855287,0.9591002044989775,0.22626161451753024,469,20,395,144
0.84,0.2560296846011132,0.967280163599182,0.2233098482002953,473,16,401,138
0.8499999999999999,0.24118738404452691,0.9754601226993865,0.21664750674391353,477,12,409,130
0.8599999999999999,0.22263450834879406,0.9795501022494888,0.20218461059828297,479,10,419,120
0.8699999999999999,0.20593692022263452,0.983640081799591,0.18957700202222538,481,8,428,111
0.8799999999999999,0.19294990723562153,0.9877300613496932,0.18067996858531465,483,6,435,104
0.8899999999999999,0.17810760667903525,0.9897750511247444,0.16788265780377953,484,5,443,96
0.8999999999999999,0.14471243042671614,0.9938650306748467,0.13857746110156288,486,3,461,78
0.9099999999999999,0.11688311688311688,0.9938650306748467,0.11074814755796347,486,3,476,63
0.9199999999999999,0.09461966604823747,0.9959100204498977,0.09052968649813531,487,2,488,51
0.9299999999999999,0.07977736549165121,0.9959100204498977,0.075687385941549,487,2,496,43
0.94,0.06679035250463822,0.9959100204498977,0.0627003729545359,487,2,503,36
