threshold,sensitivity,specificity,youden_j,tn,fp,fn,tp
0.05,1.0,0.00101010101010101,0.0010101010101009056,1,989,0,144
0.06,1.0,0.0030303030303030303,0.003030303030302939,3,987,0,144
0.07,1.0,0.00404040404040404,0.004040404040404066,4,986,0,144
0.08,1.0,0.007070707070707071,0.007070707070707005,7,983,0,144
0.09,1.0,0.010101010101010102,0.010101010101010166,10,980,0,144
0.09999999999999999,1.0,0.021212121212121213,0.021212121212121238,21,969,0,144
0.10999999999999999,1.0,0.030303030303030304,0.030303030303030276,30,960,0,144
0.12,1.0,0.04242424242424243,0.042424242424242475,42,948,0,144
0.13,1.0,0.051515151515151514,0.051515151515151514,51,939,0,144
0.13999999999999999,1.0,0.06666666666666667,0.06666666666666665,66,924,0,144
0.14999999999999997,0.9930555555555556,0.08181818181818182,0.07487373737373737,81,909,1,143
0.15999999999999998,0.9930555555555556,0.10606060606060606,0.09911616161616155,105,885,1,143
0.16999999999999998,0.9861111111111112,0.12727272727272726,0.11338383838383836,126,864,2,142
0.18,0.9791666666666666,0.15252525252525254,0.13169191919191925,151,839,3,141
0.19,0.9791666666666666,0.1808080808080808,0.1599747474747475,179,811,3,141
0.19999999999999996,0.9791666666666666,0.2080808080808081,0.18724747474747483,206,784,3,141
0.20999999999999996,0.9722222222222222,0.2292929292929293,0.20151515151515142,227,763,4,140
0.21999999999999997,0.9513888888888888,0.2545454545454545,0.20593434343434325,252,738,7,137
0.22999999999999998,0.9444444444444444,0.2878787878787879,0.23232323232323226,285,705,8,136
0.24,0.9444444444444444,0.3101010101010101,0.2545454545454544,307,683,8,136
0.24999999999999994,0.9236111111111112,0.33131313131313134,0.2549242424242424,328,662,11,133
0.25999999999999995,0.9236111111111112,0.3525252525252525,0.2761363636363636,349,641,11,133
0.26999999999999996,0.9166666666666666,0.37373737373737376,0.29040404040404044,370,620,12,132
0.27999999999999997,0.9097222222222222,0.397979797979798,0.3077020202020202,394,596,13,131
0.29,0.8958333333333334,0.42424242424242425,0.32007575757575757,420,570,15,129
0.3,0.8819444444444444,0.4414141414141414,0.3233585858585859,437,553,17,127
0.30999999999999994,0.8680555555555556,0.4595959595959596,0.32765151515151514,455,535,19,125
0.31999999999999995,0.8611111111111112,0.4767676767676768,0.3378787878787879,472,518,20,124
0.32999999999999996,0.8611111111111112,0.49393939393939396,0.35505050505050506,489,501,20,124
0.33999999999999997,0.8611111111111112,0.5121212121212121,0.37323232323232336,507,483,20,124
0.3499999999999999,0.8541666666666666,0.5353535353535354,0.389520202020202,530,460,21,123
0.35999999999999993,0.8472222222222222,0.5525252525252525,0.39974747474747474,547,443,22,122
0.36999999999999994,0.8125,0.5717171717171717,0.3842171717171716,566,424,27,117
0.37999999999999995,0.8125,0.591919191919192,0.40441919191919196,586,404,27,117
0.38999999999999996,0.8125,0.6070707070707071,0.4195707070707071,601,389,27,117
0.3999999999999999,0.7986111111111112,0.6161616161616161,0.4147727272727273,610,380,29,115
0.4099999999999999,0.7847222222222222,0.6303030303030303,0.41502525252525246,624,366,31,113
0.41999999999999993,0.7847222222222222,0.6474747474747474,0.43219696969696964,641,349,31,113
