component,explained_variance_ratio,cumulative
1,0.06291557170201584,0.06291557170201584
2,0.0496741328114044,0.11258970451342024
3,0.034936588843170295,0.14752629335659054
4,0.024559836419368264,0.1720861297759588
5,0.021052126209861098,0.1931382559858199
6,0.015191176928216244,0.20832943291403616
7,0.012906629558932117,0.2212360624729683
8,0.012104860859371689,0.23334092333233997
9,0.010289944806261194,0.24363086813860116
10,0.009950497723228403,0.25358136586182956
11,0.008767936918024516,0.2623493027798541
12,0.008463540077252026,0.2708128428571061
13,0.007810249596925959,0.27862309245403205
14,0.007107332896400352,0.2857304253504324
15,0.006915309639349253,0.2926457349897817
16,0.006725967541180667,0.29937170253096235
17,0.006487077732127112,0.30585878026308944
18,0.005711374125004121,0.31157015438809355
19,0.005679880924873248,0.3172500353129668
20,0.005456216221052591,0.3227062515340194
21,0.005083959700721185,0.32779021123474056
22,0.004985005946597091,0.3327752171813376
23,0.0047621640554810956,0.3375373812368187
24,0.004451302257743408,0.34198868349456213
25,0.004216633091897187,0.3462053165864593
26,0.00410058097397857,0.3503058975604379
27,0.0040361761428602825,0.3543420737032982
28,0.0038951659576996296,0.3582372396609978
29,0.003806060517259155,0.362043300178257
30,0.003718295436960176,0.36576159561521715
31,0.0036807035104655943,0.36944229912568277
32,0.0036585632258574062,0.37310086235154016
33,0.00344621307392489,0.37654707542546506
34,0.0033407583976747335,0.3798878338231398
35,0.0032301236417612484,0.383117957464901
36,0.003149911903143148,0.38626786936804414
37,0.003054091723309275,0.3893219610913534
38,0.003029343306639109,0.39235130439799254
39,0.002976771890644365,0.3953280762886369
40,0.002865234935512602,0.3981933112241495
41,0.002765296086860433,0.40095860731100996
42,0.002713382131550277,0.4036719894425602
43,0.002638517798313431,0.40631050724087364
44,0.002635289925125821,0.40894579716599944
45,0.002546764751853932,0.4114925619178534
46,0.002536903499484392,0.41402946541733776
47,0.002449919564935414,0.41647938498227316
48,0.002365846834718627,0.4188452318169918
49,0.0023428837374057775,0.42118811555439756
50,0.0022713705238224316,0.42345948607822
